n#010711,n02065599
n#014162,n02658531
v#004106,v00849332
v#009756,v01960911
n#065525,n12164363
n#056456,n10426630
n#070583,n13222477
n#060362,n11120146
n#034493,n06384708
v#004681,v00973728
v#012962,v02613672
n#064856,n12026018
n#003116,n00616641
n#072629,n13601370
n#037513,n06939431
n#039350,n07271167
v#001077,v00226882
v#013455,v02714200
a#014708,a02637063
n#028863,n05223248
n#022659,n04095853
n#080139,n14948983
n#021329,n03870461
n#081259,n15147850
n#063658,n11778534
n#016217,n03004531
a#010404,a01897787
n#015179,n02833275
n#024077,n04326547
a#006133,a01118409
n#019574,n03573154
n#082870,n80000756
a#012883,a02326342
n#043558,n07950920
n#075448,n14093591
n#015056,n02813874
v#012133,v02437340
n#070086,n13127666
v#007298,v01471547
n#047921,n08889400
n#066566,n12387201
n#069346,n12964572
n#077190,n14410365
n#067892,n12667406
n#044481,n08158920
n#059706,n10998117
n#055565,n10276238
n#049758,n09263619
n#081578,n15204983
v#001373,v00286333
n#066084,n12289744
r#001382,r00202955
n#024154,n04340231
r#001291,r00190359
n#014717,n02757927
n#015731,n02922877
n#040106,n07410207
a#005110,a00932829
v#007131,v01436391
n#025802,n04617441
n#043463,n07933891
v#001523,v00314272
n#040011,n07394588
a#006269,a01146012
n#025915,n04640722
n#024977,n04479046
n#044500,n08162245
n#052005,n09687775
v#000814,v00177984
n#049669,n09245212
n#059125,n10887137
n#045077,n08274354
a#009191,a01677957
n#042785,n07836600
r#003037,r00443097
n#013434,n02530052
n#057966,n10687427
v#000977,v00207184
n#068620,n12818346
n#049168,n09148259
n#056688,n10471732
n#040681,n07511733
n#056962,n10517283
n#038864,n07184545
n#069957,n13090743
n#002147,n00436953
v#007679,v01545079
v#002498,v00511763
n#062888,n11618861
n#023925,n04301626
n#043298,n07910970
a#001815,a00327541
v#008269,v01662771
n#076464,n14283178
n#051544,n09595240
n#017426,n03208229
n#053483,n09929861
n#013947,n02620318
n#005855,n01144716
n#076525,n14293207
n#064848,n12024176
v#000574,v00118764
v#007121,v01434140
n#016112,n02986066
n#035705,n06618427
a#007332,a01346198
n#076409,n14274592
n#045373,n08331960
a#004817,a00878704
n#019735,n03600806
r#000640,r00104528
n#001255,n00267217
n#017751,n03263474
n#059308,n10922239
n#068040,n12698027
n#063746,n11796573
n#023878,n04293450
n#044814,n08229605
n#081404,n15172664
n#080771,n15059694
n#022021,n03986071
n#080622,n15034939
n#045523,n08364757
n#016801,n03105306
n#027506,n04962395
n#043131,n07885832
n#043679,n07976420
n#046498,n08574038
n#063411,n11726145
n#070107,n13131282
n#014213,n02666347
n#040610,n07499830
a#006581,a01203986
n#044977,n08256151
n#010316,n01997698
n#023519,n04237924
n#079917,n14913403
n#033965,n06279939
a#012384,a02240668
v#001464,v00303661
a#003739,a00672513
n#025717,n04602956
r#001968,r00283613
n#026643,n04791928
n#045460,n08353244
a#012205,a02210068
n#033791,n06246896
n#008778,n01714982
n#067208,n12526946
n#012605,n02387887
n#050449,n09395899
n#061277,n11283300
v#009839,v01977545
n#062585,n11518330
n#017050,n03145147
n#052571,n09777975
n#060665,n11173031
n#065368,n12133332
n#032560,n05952678
n#081521,n15193908
n#078906,n14739271
n#011963,n02278601
v#006261,v01275301
a#003057,a00546646
n#052049,n09694664
r#001861,r00268797
n#039885,n07371168
a#014876,a02662394
a#010556,a01925242
v#008600,v01727490
a#013180,a02380358
a#013194,a02382934
v#010048,v02017663
a#015986,a02820153
n#034950,n06477645
n#013063,n02463810
v#002117,v00433668
a#017467,a03049220
a#017541,a03061250
n#052146,n09709001
n#082172,n80000058
n#071146,n13319415
a#011822,a02153472
n#039904,n07376008
n#032950,n06041466
a#010441,a01904698
r#001408,r00206479
n#053183,n09879744
n#022685,n04100174
a#007249,a01329616
n#039998,n07392373
n#037037,n06868986
v#004735,v00986074
n#055936,n10335246
a#013767,a02483692
n#009794,n01903756
n#056816,n10495167
a#003259,a00586883
n#060356,n11118886
n#037796,n06984247
n#061723,n11361142
v#001956,v00400883
n#058647,n10792506
n#022933,n04139748
n#040914,n07554224
n#045464,n08353912
n#052637,n09788073
a#008724,a01593649
n#063079,n11656974
n#066698,n12415272
n#060446,n11135610
v#004013,v00827458
n#060006,n11054173
n#034361,n06360996
n#038765,n07165506
n#025409,n04551638
n#026231,n04703932
n#073111,n13682221
v#000502,v00101434
n#039741,n07344233
n#031561,n05747495
v#000233,v00048633
n#046117,n08488675
n#023320,n04207763
n#033434,n06170025
n#011265,n02157415
v#000390,v00079629
a#017290,a03021866
n#037365,n06919712
n#063358,n11715430
n#038151,n07046339
v#000237,v00049102
v#002182,v00448290
a#008385,a01527245
a#000078,a00017024
n#051457,n09578005
n#022408,n04052658
n#030039,n05448597
n#037224,n06900005
n#022326,n04037443
n#030627,n05568349
n#035568,n06594505
n#080921,n15084277
v#002201,v00451648
n#071765,n13428421
n#031965,n05829012
n#039418,n07282497
n#027129,n04887790
n#036188,n06704582
n#033958,n06278338
n#052975,n09847629
n#058422,n10758207
a#016510,a02901649
v#000169,v00036362
n#014908,n02790322
a#013062,a02358650
n#069413,n12977565
n#019167,n03503477
v#013360,v02696503
r#003089,r00450234
n#050945,n09490352
v#009750,v01959927
n#045956,n08457369
n#059832,n11021667
n#078278,n14614245
n#018011,n03314780
n#082119,n80000005
n#040735,n07521674
n#033387,n06160055
a#012089,a02194649
n#078363,n14631871
n#000256,n00074790
n#075606,n14123759
n#044233,n08101410
n#028975,n05245521
v#006986,v01407904
n#006511,n01268183
n#000521,n00125436
a#009453,a01722965
n#079814,n14896018
n#044502,n08162691
n#023188,n04183329
n#019268,n03520493
n#006993,n01373090
n#030240,n05488615
n#030546,n05551617
v#013023,v02625786
n#046182,n08501114
n#063498,n11743109
n#044771,n08222203
n#004886,n00959645
a#014173,a02554663
a#012172,a02206173
r#001058,r00158936
n#082300,n80000186
n#020426,n03714610
n#057262,n10567401
v#012675,v02551602
v#004098,v00847478
n#069418,n12978654
n#044390,n08139000
a#000900,a00166753
n#055817,n10316862
n#081761,n15236338
n#034359,n06360723
v#001450,v00300761
v#005913,v01213908
n#063048,n11650558
n#018919,n03462747
a#011454,a02090228
a#008233,a01500876
n#052855,n09830926
n#019351,n03534695
n#046201,n08504851
n#067355,n12558680
a#012253,a02218834
n#069731,n13043926
v#001569,v00322847
n#006590,n01286181
v#006944,v01399921
n#059292,n10919061
n#018593,n03410571
a#006007,a01093631
n#005688,n01113068
n#031471,n05729875
n#056133,n10368113
n#001799,n00367552
n#057360,n10585077
n#020363,n03703945
r#001221,r00180944
n#051994,n09685233
n#009552,n01854838
n#018763,n03439260
n#075657,n14134623
n#009225,n01801088
n#010202,n01978744
n#080002,n14926180
n#041284,n07612996
n#037886,n06997938
a#012915,a02332421
a#013937,a02513269
n#015921,n02953197
a#014299,a02576489
n#067056,n12492106
n#008063,n01582856
n#060477,n11140862
n#042986,n07864638
n#002194,n00444846
n#046444,n08563478
n#003707,n00727500
a#011549,a02107991
n#016298,n03016868
a#005329,a00974404
n#049127,n09140993
n#078070,n14574675
n#028898,n05231397
n#058580,n10781460
a#000726,a00136185
n#003955,n00778809
v#006483,v01315140
n#040098,n07408796
a#014711,a02637537
n#006018,n01176219
a#000675,a00127815
r#003600,r00514475
n#081731,n15230790
n#009714,n01891865
n#075420,n14088918
a#008793,a01607120
n#009427,n01834039
n#008642,n01690149
n#033315,n06143454
n#004781,n00937105
n#042944,n07858595
n#052838,n09828216
n#018281,n03359755
n#024679,n04429756
n#078743,n14708232
r#003108,r00452498
n#021963,n03977266
n#012881,n02433318
v#011717,v02351010
n#074217,n13860281
n#081561,n15202131
n#002688,n00540895
n#015142,n02827020
a#007141,a01311321
n#016184,n02998841
n#017148,n03160740
r#001794,r00259653
n#071079,n13308750
n#025508,n04568713
n#011554,n02209230
a#002014,a00363938
n#032848,n06013584
n#037216,n06898352
r#001677,r00245716
n#008604,n01683558
a#006202,a01131935
n#049250,n09164561
n#059713,n10999410
r#001106,r00165906
a#010904,a01991267
n#066803,n12437930
n#000915,n00200379
n#066001,n12271643
v#013057,v02632838
v#008161,v01639592
v#001558,v00321020
n#036657,n06796642
a#011006,a02009880
n#009054,n01771624
n#020932,n03804048
n#025817,n04621010
a#007528,a01381907
n#004763,n00932298
n#034119,n06314595
n#031300,n05695806
n#042483,n07789911
n#009177,n01793565
n#008785,n01716122
n#040291,n07445010
v#010166,v02040273
v#012281,v02468261
n#045257,n08309611
v#011403,v02290196
n#005658,n01107549
n#020850,n03789946
n#037934,n07006119
a#003932,a00708498
a#014010,a02526441
n#005857,n01145015
r#002599,r00381557
n#004533,n00890227
n#014282,n02678528
n#036972,n06858384
a#005073,a00925820
n#024567,n04409911
n#034374,n06362953
n#070146,n13138842
n#081970,n15274305
v#005234,v01084170
n#046740,n08619795
n#065331,n12126084
n#076475,n14284876
a#002841,a00504592
n#028335,n05116730
n#021711,n03934042
n#082314,n80000200
v#008183,v01644522
n#031858,n05808102
n#042403,n07777512
n#072089,n13493003
a#013159,a02375639
v#004829,v01004550
n#058396,n10754281
n#045558,n08372299
v#005867,v01204439
n#010686,n02060719
n#018004,n03313456
n#057057,n10533780
n#079028,n14762758
n#035026,n06492188
n#061650,n11347834
n#015470,n02880008
r#001360,r00199687
n#048180,n08946715
v#009946,v01997119
n#035357,n06553472
n#021378,n03878828
n#080572,n15024997
n#055403,n10249950
r#000321,r00056916
n#075995,n14203813
n#049555,n09224566
v#009847,v01978700
n#035210,n06524935
n#058231,n10729175
a#006969,a01276482
a#002386,a00421513
a#009820,a01789279
v#013680,v02755565
n#058362,n10749004
a#002295,a00404961
a#010658,a01947741
n#043541,n07947789
n#071398,n13364984
n#074656,n13940311
n#058048,n10700201
n#025349,n04541320
v#006384,v01297813
n#081342,n15161430
v#006510,v01320424
a#001532,a00274373
n#059008,n10865567
a#017435,a03044331
v#009364,v01887454
n#078167,n14594032
n#040829,n07539367
n#001971,n00401783
n#012078,n02298379
n#062683,n11537327
v#006132,v01253621
n#023303,n04205192
n#007543,n01481331
n#016500,n03049695
n#035290,n06540527
r#000782,r00124611
n#050711,n09447450
r#000592,r00097620
n#004236,n00833296
n#016683,n03081021
n#021510,n03899768
n#079497,n14840583
n#063052,n11651259
r#001878,r00270974
n#062517,n11506549
n#027448,n04950126
n#041867,n07694169
n#080504,n15013764
v#007977,v01602191
v#000636,v00139160
a#007272,a01333609
n#016479,n03046133
a#014922,a02668585
a#013532,a02442441
n#004395,n00864226
n#020597,n03746155
n#020099,n03659809
n#032041,n05844545
a#013463,a02432154
n#077996,n14562960
n#030920,n05624615
v#008200,v01648373
n#002563,n00518152
n#042384,n07773428
n#077678,n14504558
n#048203,n08951513
n#042510,n07793795
n#029013,n05253165
n#048310,n08974330
a#016604,a02916006
n#026420,n04746134
r#001411,r00207012
n#053097,n09866473
n#000995,n00216174
n#066644,n12403862
n#071715,n13419535
v#012326,v02476846
n#008971,n01748560
n#079487,n14838677
n#065327,n12125398
a#003688,a00663468
n#074015,n13825840
n#024470,n04393913
n#071603,n13398859
a#013714,a02474876
n#042132,n07734292
r#001126,r00168564
a#005618,a01027686
a#000428,a00081087
n#081084,n15112828
v#001842,v00377351
n#003060,n00605715
n#065869,n12243693
n#038635,n07139151
v#010019,v02011865
n#029783,n05395690
a#015289,a02721439
n#082286,n80000172
a#002924,a00521692
a#001350,a00242575
n#015725,n02921884
n#033508,n06187756
a#005649,a01032339
n#027424,n04945942
v#005465,v01128071
n#007843,n01546039
v#011260,v02261123
n#081355,n15163979
v#006049,v01239619
n#040230,n07433336
n#083036,n80000922
v#000102,v00023380
n#056207,n10380305
n#073193,n13692278
n#074191,n13855377
n#035639,n06607809
n#044487,n08159924
n#038148,n07045928
v#007765,v01562478
n#048824,n09085593
n#018990,n03473966
n#065050,n12070583
a#011993,a02182217
v#004263,v00884317
n#026594,n04782116
n#067965,n12682411
n#049428,n09197945
n#051488,n09583723
v#009314,v01876907
n#028222,n05095111
n#000065,n00037396
a#014447,a02600447
n#045842,n08425173
n#079234,n14794418
r#003090,r00450382
n#026255,n04709011
n#068750,n12844409
n#057320,n10578021
v#000182,v00038849
n#079507,n14842560
n#031505,n05736149
n#073658,n13763185
n#021201,n03849814
n#026038,n04665543
a#012111,a02196891
a#000638,a00120784
v#003720,v00760576
a#006727,a01230387
n#030863,n05613274
n#029986,n05439582
n#028946,n05240522
n#008467,n01653975
n#076061,n14216152
n#082423,n80000309
n#064403,n11936113
n#062710,n11542640
n#064510,n11955040
n#079397,n14823690
n#003436,n00677719
n#008117,n01592084
a#009198,a01679244
n#038862,n07184149
n#053937,n10006511
a#005344,a00977372
n#021817,n03950228
v#012679,v02552449
n#044102,n08074330
n#036775,n06817459
v#010255,v02057499
a#015053,a02687434
a#004165,a00753093
n#042049,n07722485
r#002940,r00429964
n#062603,n11521267
n#013578,n02557749
n#034747,n06431496
n#055260,n10224446
n#073159,n13688190
n#028189,n05088056
n#061758,n11366787
n#020408,n03711603
n#013097,n02469248
n#065928,n12256112
n#051880,n09665897
v#006955,v01402305
n#032140,n05862970
n#073390,n13717619
n#067578,n12603959
a#004116,a00742879
a#018169,a80000014
v#012858,v02591171
n#049154,n09145851
n#053894,n09999683
n#002468,n00501080
n#047720,n08835675
n#014183,n02661892
v#008824,v01773130
a#014590,a02620134
r#002156,r00313263
n#044182,n08091290
n#074845,n13977732
n#014200,n02664511
v#008965,v01802494
a#009053,a01652601
n#059852,n11025326
v#012672,v02551144
n#019378,n03538634
n#034156,n06321054
n#014313,n02683936
n#076126,n14226303
a#000386,a00073935
n#031155,n05667404
v#009788,v01966861
v#001127,v00237259
n#031046,n05646535
n#079302,n14806333
v#002765,v00559754
n#006971,n01369358
r#003619,r00516401
n#001542,n00319312
a#014082,a02538295
v#002066,v00423971
n#077135,n14400325
v#004288,v00889229
a#014191,a02557719
n#068224,n12736455
n#077066,n14385734
a#000207,a00041202
n#014223,n02667693
n#054255,n10064046
n#077092,n14390839
v#004309,v00894080
v#010741,v02153023
n#048676,n09057170
v#001203,v00253277
n#036953,n06855035
n#056858,n10501097
n#083155,n80001043
n#042955,n07860447
v#005524,v01138523
n#024218,n04351699
n#078953,n14748117
n#060309,n11110396
v#001584,v00325910
n#007134,n01399450
n#033082,n06075016
n#058855,n10837567
n#020951,n03807052
v#000003,v00002724
n#079684,n14872875
r#003214,r00466246
n#051130,n09522615
n#048694,n09060768
n#081321,n15156746
n#069728,n13043264
a#011845,a02156505
n#048105,n08933770
n#023691,n04264361
n#062249,n11457283
n#029128,n05273555
v#006403,v01300805
v#011686,v02344568
r#001604,r00235570
n#071060,n13305673
r#001139,r00170188
n#035800,n06633896
n#006148,n01204294
n#046765,n08624891
n#052350,n09740954
n#004397,n00864680
v#007530,v01516865
n#045127,n08283180
n#014007,n02631628
n#053424,n09919061
n#016367,n03027797
n#006049,n01182312
v#007238,v01458464
n#078147,n14590542
r#000126,r00024509
n#054741,n10142290
n#014582,n02734217
n#015847,n02941605
n#079887,n14908297
n#045203,n08298521
n#015756,n02926727
n#048564,n09029242
n#040309,n07448394
n#067409,n12570126
n#025316,n04535634
n#063891,n11826715
n#049875,n09284433
n#034447,n06377442
n#046066,n08479795
n#010848,n02089555
a#009474,a01726613
n#040288,n07444495
v#004637,v00963961
n#044003,n08056601
n#058065,n10703336
n#007477,n01468238
n#068538,n12801072
n#041524,n07645631
v#004677,v00972608
a#001731,a00314466
r#002732,r00400722
n#003871,n00757483
n#002379,n00483205
n#038843,n07180787
r#002075,r00300496
n#035324,n06547059
n#017736,n03261157
n#012729,n02408817
n#055686,n10295597
n#029636,n05369757
n#082944,n80000830
v#004812,v01001294
a#013053,a02356579
a#003846,a00691022
r#000035,r00006858
v#010998,v02205012
n#019018,n03478141
n#067929,n12675100
a#001472,a00262529
n#064076,n11865874
n#005832,n01140471
a#017798,a03103198
n#080889,n15079656
n#043238,n07902336
n#069352,n12965626
n#012668,n02397529
n#010915,n02099997
a#006900,a01261727
n#081671,n15220985
r#002258,r00329635
v#011981,v02402695
n#041844,n07690739
n#035019,n06491168
n#021599,n03913930
n#001748,n00358290
a#002300,a00405879
n#074966,n14000820
a#008171,a01490061
a#008881,a01622908
n#018888,n03458271
v#000888,v00190023
r#000454,r00078445
n#058189,n10722758
n#029492,n05344213
n#001004,n00218208
n#058933,n10851865
n#032606,n05961141
n#029583,n05360880
a#013587,a02451113
v#000909,v00193954
n#015562,n02895328
n#040314,n07449157
v#003840,v00787359
n#063435,n11730602
a#007793,a01427333
n#004114,n00809465
a#014819,a02654442
a#002132,a00381766
a#007103,a01303776
a#015963,a02816340
n#048337,n08980300
n#003778,n00740048
n#040637,n07504258
a#006413,a01173697
n#070941,n13285714
n#065954,n12262018
n#061003,n11231683
n#040812,n07536074
n#046371,n08550862
v#001740,v00356258
n#054998,n10181656
n#014934,n02794008
n#067748,n12638556
v#011963,v02398956
n#068871,n12867679
n#036459,n06757771
a#005708,a01042491
n#046212,n08507255
n#034977,n06483992
n#055981,n10343355
n#081171,n15132201
n#018832,n03450018
n#023481,n04232437
n#022140,n04005630
a#013527,a02441895
n#070840,n13269054
v#008334,v01673732
a#004634,a00845025
v#010257,v02057878
n#061784,n11371254
n#029664,n05374475
v#001939,v00396997
v#010126,v02032634
n#065354,n12130408
n#026463,n04754056
n#067920,n12673012
n#037882,n06997368
n#044888,n08242100
a#010398,a01896478
n#012380,n02352390
a#010426,a01902171
n#018731,n03434549
n#023611,n04252653
a#003264,a00588062
v#003138,v00635714
n#023702,n04266162
n#059158,n10893433
n#014288,n02679788
n#017109,n03154316
n#072214,n13517385
n#059456,n10950219
n#078518,n14669823
v#003057,v00616153
n#059321,n10924828
a#005984,a01089369
n#044909,n08245802
n#047840,n08875057
v#008286,v01666002
n#028415,n05132827
n#069486,n12990407
n#018111,n03331599
n#055963,n10339717
n#060054,n11062285
v#011575,v02323604
n#025785,n04614083
n#030067,n05453523
n#051185,n09530238
n#028142,n05079309
n#045740,n08407330
n#069507,n12996841
a#017334,a03029133
a#004194,a00758459
n#027485,n04958146
n#012824,n02423589
a#013253,a02394793
r#000589,r00097231
n#038921,n07194950
n#045939,n08453464
n#054126,n10041373
n#081995,n15278825
a#010253,a01867768
a#008605,a01567694
n#054257,n10064405
a#018307,a80000154
n#064537,n11960540
n#025571,n04579056
n#018072,n03325288
n#038291,n07070321
n#003322,n00654400
v#006072,v01243474
n#000475,n00116989
n#025604,n04584373
n#047138,n08711300
n#023393,n04219067
n#064094,n11870916
a#015145,a02700792
a#013108,a02367095
n#075259,n14058456
n#064705,n11994336
v#006151,v01257049
n#036402,n06746471
n#023032,n04156140
n#037134,n06884520
r#000836,r00130758
n#009821,n01908703
n#023163,n04178668
n#082857,n80000743
a#008586,a01564512
n#067439,n12576323
n#030980,n05635624
v#002266,v00465291
n#067227,n12531144
n#017543,n03228016
n#012581,n02384858
n#066565,n12387103
n#029659,n05373616
n#022569,n04081044
n#047057,n08688779
n#051730,n09638569
n#061327,n11292662
n#032167,n05868051
n#036290,n06723635
a#013089,a02364066
n#070403,n13186200
n#021898,n03964611
v#013737,v02767116
n#038692,n07150138
a#004992,a00912490
n#004171,n00820406
n#082795,n80000681
n#047614,n08812842
n#006728,n01318279
n#055745,n10305523
n#008534,n01670535
n#002190,n00444142
